emoji,greeting,title,description,footnote
🧴,Let's visit the bathroom today,Toss one empty bottle,Find one empty shampoo or lotion bottle and throw it away now.,No pressure. Come back whenever you like.
💊,Let’s check your medicine today,Clear unused medicine,Look through your medicine and remove one item that’s expired or no longer needed.,No pressure. Come back whenever you like.
🧼,Let's visit the bathroom today,Ditch a hotel toiletry,Remove one tiny hotel soap or bottle you'll never use.,No pressure. Come back whenever you like.
🌶️,Let's visit the kitchen today,Drop one old spice,Find a spice past its date and toss it out.,No pressure. Come back whenever you like.
🥡,Let's visit the kitchen today,Lidless container out,Recycle one food container that has no matching lid.,No pressure. Come back whenever you like.
🥢,Let's visit the kitchen today,Fewer spare chopsticks,Remove a handful of duplicate takeaway chopsticks.,No pressure. Come back whenever you like.
👕,Let's visit the closet today,One shirt you skip,Pull out one shirt you haven't worn in over a year.,No pressure. Come back whenever you like.
🧥,Let's visit the closet today,Bin a broken hanger,"If you have one, throw away a bent or broken hanger.",No pressure. Come back whenever you like.
🧦,Let's visit the closet today,Match one sock pair,Reunite a single pair of stray socks.,No pressure. Come back whenever you like.
📄,Let's sort some paper today,Go paperless once,Switch one paper statement over to email.,No pressure. Come back whenever you like.
🧾,Let's sort some paper today,Recycle an old receipt,Grab one receipt you no longer need and recycle it.,No pressure. Come back whenever you like.
📑,Let's sort some paper today,Expired warranty out,Throw away one warranty that has already expired.,No pressure. Come back whenever you like.
📱,Let's tidy your phone today,Delete 5 screenshots,Open your photos and delete five old screenshots.,No pressure. Come back whenever you like.
🗑️,Let's tidy your phone today,Remove one app,Delete one app you haven't opened in months.,No pressure. Come back whenever you like.
✉️,Let's tidy your phone today,Unsubscribe once,Open one newsletter and hit unsubscribe.,No pressure. Come back whenever you like.
